image_index,ig_fass,shap_fass,gradcam_fass
0,0.6449971199035645,0.5704027414321899,0.925727367401123
1,0.7942641973495483,0.6591466665267944,0.938206672668457
2,0.7040044069290161,0.5777176022529602,0.9416422843933105
3,0.6312612295150757,0.6009982824325562,0.9849866628646851
4,0.4465101659297943,0.4367864727973938,0.9374269843101501
5,0.6750761270523071,0.614680290222168,0.9667757749557495
6,0.5254639983177185,0.49896466732025146,0.8888405561447144
7,0.5033450722694397,0.4547709822654724,0.9834332466125488
8,0.47403228282928467,0.45918509364128113,0.9184682369232178
9,0.6853861212730408,0.6196545958518982,0.9922418594360352
10,0.5980551838874817,0.5018738508224487,0.9307984113693237
11,0.587319552898407,0.5526411533355713,0.856473445892334
12,0.7533979415893555,0.7087060809135437,0.9908871650695801
13,0.6996726989746094,0.6500768661499023,0.9864987134933472
15,0.7175092697143555,0.6314764618873596,0.694516122341156
16,0.6578888297080994,0.6163221597671509,0.9723278880119324
17,0.8061370253562927,0.7083212733268738,0.9281620979309082
18,0.6910569071769714,0.6424862742424011,0.9359130263328552
19,0.639777660369873,0.5876092910766602,0.8594483137130737
20,0.6979804039001465,0.5338034629821777,0.9109861254692078
21,0.6841713786125183,0.5901402831077576,0.966212272644043
22,0.6162149906158447,0.5367916226387024,0.9826247096061707
23,0.5239668488502502,0.47517669200897217,0.7439932823181152
24,0.6028553247451782,0.46931540966033936,0.9537245035171509
25,0.6512640714645386,0.5145047307014465,0.859484076499939
26,0.5388474464416504,0.4846394956111908,0.980689525604248
27,0.5413051843643188,0.5176587104797363,0.937306821346283
28,0.47628769278526306,0.46025705337524414,0.659552812576294
29,0.5755422115325928,0.522839367389679,0.9817661046981812
30,0.6782522201538086,0.6307140588760376,0.9085496664047241
31,0.5156042575836182,0.5073769092559814,0.9454090595245361
32,0.7027788162231445,0.6568009257316589,0.9852575063705444
33,0.6094072461128235,0.5297355651855469,0.7238116264343262
34,0.61400306224823,0.5637236833572388,0.9715592265129089
35,0.7215017676353455,0.5484988689422607,0.9499191045761108
36,0.6863939762115479,0.5629006028175354,0.8792033195495605
37,0.6288365721702576,0.6121562719345093,0.8759804964065552
38,0.6648828983306885,0.5955892205238342,0.8941632509231567
39,0.741614580154419,0.5875688791275024,0.7846760153770447
40,0.6524929404258728,0.5226406455039978,0.8049852848052979
41,0.5598884224891663,0.5411093235015869,0.8494306802749634
42,0.6476832628250122,0.6188516616821289,0.8549939393997192
43,0.574215829372406,0.554325520992279,0.8894307017326355
44,0.6288069486618042,0.5451769828796387,0.8286848068237305
45,0.575550377368927,0.5246378183364868,0.9274163246154785
46,0.6310917735099792,0.5663272142410278,0.7918940782546997
47,0.631971001625061,0.573249876499176,0.7673701047897339
48,0.6061687469482422,0.5596613883972168,0.953891932964325
49,0.683509349822998,0.601889967918396,0.86363685131073
50,0.769102931022644,0.70644211769104,0.7920703291893005
51,0.6692756414413452,0.5973001718521118,0.9656081199645996
52,0.6914202570915222,0.533286988735199,0.7822803258895874
53,0.6894795894622803,0.6612288951873779,0.9029061198234558
54,0.5581170916557312,0.4865862727165222,0.8377246856689453
55,0.680546760559082,0.6634529232978821,0.7065731883049011
56,0.629502534866333,0.5744807720184326,0.9167659282684326
57,0.5892230272293091,0.5259244441986084,0.7455600500106812
58,0.5497903823852539,0.5245869159698486,0.7629372477531433
59,0.6773495078086853,0.6316633224487305,0.7793205976486206
60,0.7073256373405457,0.621511697769165,0.9151570200920105
61,0.6670095324516296,0.5405809879302979,0.978655993938446
62,0.7140855193138123,0.6473027467727661,0.6924912333488464
63,0.6708728075027466,0.5821728706359863,0.8227107524871826
64,0.7025425434112549,0.5857617855072021,0.9616073369979858
65,0.6065932512283325,0.6070956587791443,0.7304635047912598
66,0.4785335063934326,0.48198553919792175,0.8964120745658875
67,0.6757559776306152,0.5724241733551025,0.9616973400115967
