image_index,ig_fass,shap_fass,gradcam_fass
0,0.649691104888916,0.5702494382858276,0.9257509112358093
1,0.8019716143608093,0.6632580757141113,0.943748950958252
2,0.7067119479179382,0.5823459029197693,0.9361172914505005
3,0.6285523176193237,0.5955694913864136,0.9914441108703613
4,0.44202399253845215,0.4376586079597473,0.9374169707298279
5,0.6747956275939941,0.6177632212638855,0.9667655825614929
6,0.5266022086143494,0.5031462907791138,0.8888081908226013
7,0.5015372037887573,0.4568377137184143,0.9834239482879639
8,0.47288474440574646,0.4602698087692261,0.9131569862365723
9,0.6793155670166016,0.6060634255409241,0.9922657012939453
10,0.5966384410858154,0.5006357431411743,0.9362010359764099
11,0.5886306762695312,0.5515880584716797,0.8565319776535034
12,0.7568281888961792,0.7152118682861328,0.9843990206718445
13,0.6996679306030273,0.6481561064720154,0.9801496267318726
15,0.7173774242401123,0.6318174600601196,0.6906157732009888
16,0.6574062705039978,0.610878586769104,0.9723390340805054
17,0.8092729449272156,0.7063879370689392,0.9335431456565857
18,0.696006178855896,0.6364495754241943,0.9359673261642456
19,0.639348566532135,0.601089596748352,0.859438419342041
20,0.6838555335998535,0.5310145616531372,0.9110066890716553
21,0.6835843324661255,0.5888686180114746,0.9661778211593628
22,0.6153180599212646,0.5377440452575684,0.9825801849365234
23,0.5234671831130981,0.4748566746711731,0.7439901232719421
24,0.6042793393135071,0.46936461329460144,0.9537386298179626
25,0.6450589895248413,0.5167645812034607,0.8594595789909363
26,0.5379346609115601,0.4834783673286438,0.9805280566215515
27,0.5409190654754639,0.5179235935211182,0.9430463314056396
28,0.4752306342124939,0.46108269691467285,0.6595396399497986
29,0.5728888511657715,0.5239588022232056,0.9817410707473755
30,0.6802750825881958,0.6296532154083252,0.908604085445404
31,0.5155762434005737,0.5054767727851868,0.945229172706604
32,0.7014426589012146,0.6584831476211548,0.9917454719543457
33,0.6063371300697327,0.5293875336647034,0.7239369750022888
34,0.6151416301727295,0.5609062910079956,0.9715325236320496
35,0.720669686794281,0.5486273169517517,0.9499421119689941
36,0.6822873950004578,0.5595806837081909,0.8839879035949707
37,0.6326249241828918,0.6161229610443115,0.8804978132247925
38,0.6640006303787231,0.5974478721618652,0.8941401243209839
39,0.7406088709831238,0.5868703722953796,0.7877928018569946
40,0.6516073346138,0.5242651700973511,0.8015031814575195
41,0.5588126182556152,0.544745147228241,0.8334478139877319
42,0.6439539790153503,0.6218098402023315,0.8549496531486511
43,0.5754043459892273,0.5519503951072693,0.8847634792327881
44,0.6274532675743103,0.5402809977531433,0.8285706043243408
45,0.5723540186882019,0.5293906927108765,0.9274675250053406
46,0.6300379633903503,0.5703137516975403,0.7950992584228516
47,0.634128212928772,0.568658709526062,0.7674256563186646
48,0.6037440299987793,0.5569225549697876,0.9597553610801697
49,0.6808866858482361,0.598857045173645,0.863620400428772
50,0.7658834457397461,0.7087084650993347,0.7921063899993896
51,0.671750545501709,0.6018665432929993,0.9656032919883728
52,0.680912435054779,0.5363750457763672,0.7853056788444519
53,0.6896309852600098,0.6661052107810974,0.9079585075378418
54,0.5582670569419861,0.4852065443992615,0.833889365196228
55,0.6780903339385986,0.6627098321914673,0.7069131731987
56,0.6292287707328796,0.5711601972579956,0.9116581678390503
57,0.5870058536529541,0.5252658128738403,0.7379456758499146
58,0.5477108955383301,0.5234819650650024,0.7687321901321411
59,0.6725291609764099,0.6304141283035278,0.7793347239494324
60,0.7104804515838623,0.6157921552658081,0.9152312278747559
61,0.6694233417510986,0.5373377799987793,0.9786350131034851
62,0.7114002704620361,0.6444448828697205,0.6925072073936462
63,0.6657220721244812,0.5815534591674805,0.8227038383483887
64,0.700006902217865,0.5821384191513062,0.9675807952880859
65,0.6065713167190552,0.6070785522460938,0.732864499092102
66,0.48279982805252075,0.47759974002838135,0.8964289426803589
67,0.6861535310745239,0.5703338384628296,0.9616944193840027
68,0.6422082185745239,0.6071057319641113,0.9257814288139343
69,0.7089899778366089,0.5936565399169922,0.8613694906234741
70,0.770858645439148,0.6238940954208374,0.9863573908805847
71,0.6599467992782593,0.6234146356582642,0.7630817294120789
72,0.5572187304496765,0.5186455249786377,0.6412803530693054
73,0.6658028364181519,0.5476273894309998,0.8785324096679688
74,0.6721178293228149,0.5529354810714722,0.9926897883415222
75,0.6023331880569458,0.5766826272010803,0.7698142528533936
76,0.6834641695022583,0.5634005665779114,0.8696411848068237
77,0.5449572801589966,0.4987594783306122,0.955208957195282
78,0.7414344549179077,0.6905813217163086,0.9965123534202576
79,0.5692629218101501,0.5229039192199707,0.7844704389572144
80,0.6520863771438599,0.6146698594093323,0.979160487651825
81,0.6556565761566162,0.6118690967559814,0.6628655195236206
82,0.6041074991226196,0.5432379841804504,0.661620020866394
83,0.5608857274055481,0.49767524003982544,0.6828081011772156
84,0.6998593211174011,0.5616604089736938,0.9401130080223083
85,0.7903671264648438,0.6380561590194702,0.9465237855911255
86,0.5311763286590576,0.493261456489563,0.9283924102783203
87,0.6151540875434875,0.5571078658103943,0.8765704035758972
88,0.5885701179504395,0.5133839249610901,0.8529281616210938
89,0.5347967743873596,0.4923900365829468,0.9579197764396667
91,0.6049224734306335,0.5358948707580566,0.8563403487205505
92,0.7429952025413513,0.5797784924507141,0.7996436953544617
93,0.5566077828407288,0.5067194104194641,0.9463292360305786
95,0.49082958698272705,0.4212000072002411,0.6444107890129089
96,0.6634015440940857,0.6478636264801025,0.9121438264846802
97,0.7834078669548035,0.622276782989502,0.9731199145317078
98,0.5577731132507324,0.5214141011238098,0.9154061079025269
99,0.4675288200378418,0.4714648127555847,0.880556583404541
101,0.6482070684432983,0.5858614444732666,0.9726983904838562
102,0.7465229034423828,0.6295632123947144,0.9499339461326599
103,0.6648013591766357,0.6462067365646362,0.9731607437133789
104,0.6443902254104614,0.6266798973083496,0.8888291120529175
105,0.48483651876449585,0.4917793869972229,0.8643175959587097
106,0.6957733631134033,0.5885312557220459,0.9430547952651978
107,0.4707797169685364,0.4705887734889984,0.9297759532928467
108,0.5892226099967957,0.5189216732978821,0.8505325317382812
109,0.4836096465587616,0.46628832817077637,0.9776214361190796
110,0.5054471492767334,0.5033407211303711,0.7374475002288818
111,0.7172026634216309,0.6466624736785889,0.9220799803733826
112,0.5500713586807251,0.5079363584518433,0.8719083666801453
113,0.7417284250259399,0.5098670721054077,0.7280039191246033
114,0.6693230867385864,0.6146522760391235,0.9643322825431824
115,0.6078644394874573,0.5751460790634155,0.8674728274345398
116,0.6765734553337097,0.6752166152000427,0.9366592764854431
117,0.5548467636108398,0.5336697101593018,0.6505481004714966
118,0.676578164100647,0.5891054272651672,0.9256755709648132
119,0.5148967504501343,0.4996967017650604,0.9262611269950867
120,0.6064795255661011,0.5547043085098267,0.7823965549468994
121,0.6345906257629395,0.6159446239471436,0.9904245138168335
122,0.6376199722290039,0.5794948935508728,0.9855536222457886
123,0.533065140247345,0.4853940010070801,0.9330064654350281
124,0.49771949648857117,0.44495889544487,0.8456488847732544
126,0.46479904651641846,0.4239650368690491,0.7311275005340576
127,0.5774596929550171,0.5438731908798218,0.7829307317733765
128,0.5631922483444214,0.5192235708236694,0.8217211961746216
129,0.6828387975692749,0.5195522308349609,0.9975577592849731
131,0.7717912197113037,0.6787304878234863,0.9929012656211853
132,0.6737861633300781,0.617356538772583,0.9559539556503296
133,0.6053499579429626,0.47525498270988464,0.8446931838989258
135,0.6972443461418152,0.6352364420890808,0.6910436153411865
136,0.7730464339256287,0.7569575309753418,0.9736756682395935
137,0.6988381743431091,0.580265998840332,0.7599982023239136
138,0.6048322916030884,0.48576876521110535,0.9302053451538086
