model,perturbation,n_images,ig_fass,shap_fass,gradcam_fass,ig_std,shap_std,gradcam_std
resnet50,rotation,23517,0.4539971922679474,0.45334217890608536,0.7204075834907966,0.029001674820826603,0.02804122169489139,0.10564890657904988
densenet121,rotation,23372,0.4458705450897651,0.4453505885755589,0.7573812832300658,0.033148431369480126,0.03223781673635653,0.11247927456415789
convnext_tiny,rotation,27316,0.4688241754678022,0.47142845524131577,0.7732054783689503,0.02697704708761739,0.02512836164867071,0.11540767547608384
vit_b_16,rotation,26832,0.4846143704540828,0.4777821698434291,0.7617502912804573,0.026077325487113258,0.024613423558497806,0.2529779082936654
resnet50,noise,28058,0.6358397368784343,0.563986273645352,0.8768764573689563,0.07605598381704293,0.0603647805732055,0.09645034631965187
densenet121,noise,28152,0.6327258828888734,0.5588760411874429,0.9152187247884718,0.07533483672489412,0.06262028042104287,0.08035460712120654
convnext_tiny,noise,28515,0.6044353762813018,0.5598501949953695,0.8955349215515535,0.0714507856355932,0.060645581950167254,0.09710108171881983
vit_b_16,noise,29131,0.7654528353810985,0.619481450419344,0.8192777403824599,0.0810305485277993,0.0805053686751468,0.2620536839925117
