image_index,ig_fass,shap_fass,gradcam_fass
1863,0.5362067222595215,0.5151658058166504,0.4090287685394287
1864,0.5202709436416626,0.4862130582332611,0.5046262145042419
1866,0.5477283596992493,0.5204738974571228,0.6949037909507751
1867,0.47509586811065674,0.4404563307762146,0.5411421656608582
1873,0.5061049461364746,0.4785194993019104,0.2714571952819824
1874,0.5348488092422485,0.4866301417350769,0.43591544032096863
1876,0.516586184501648,0.4810570180416107,0.5286768078804016
1880,0.6196945905685425,0.48079508543014526,0.49280643463134766
1884,0.5081682205200195,0.466996431350708,0.3579128682613373
1889,0.49918338656425476,0.46303221583366394,0.3840704560279846
1891,0.6375719308853149,0.5887399911880493,0.6164984107017517
1895,0.5169569253921509,0.49448275566101074,0.4949958324432373
1896,0.5045024752616882,0.46166691184043884,0.288970410823822
1897,0.6055728793144226,0.5632364749908447,0.5042487382888794
1898,0.5638964772224426,0.5318662524223328,0.6895663142204285
1900,0.539908230304718,0.5107506513595581,0.5473358035087585
1903,0.5443604588508606,0.47845810651779175,0.5333805084228516
1907,0.5219469666481018,0.5015616416931152,0.5918384790420532
1908,0.5098820924758911,0.42619451880455017,0.4930800795555115
1911,0.547124981880188,0.5018733739852905,0.4084160327911377
1912,0.5589053630828857,0.44419920444488525,0.3895159661769867
6592,0.5537800788879395,0.523593544960022,0.4339592456817627
6594,0.6546533703804016,0.6159837245941162,0.528140664100647
6595,0.5073463320732117,0.43629568815231323,0.7622136473655701
6596,0.5295485258102417,0.45713597536087036,0.3683094382286072
6598,0.5845115184783936,0.5046242475509644,0.4055339992046356
6599,0.5001955032348633,0.4889376163482666,0.7669975161552429
6600,0.5124227404594421,0.4244537353515625,0.5028128027915955
6608,0.5947543382644653,0.4379293620586395,0.6500304937362671
6615,0.6023749709129333,0.5179781913757324,0.6094549894332886
6618,0.5360541343688965,0.44748038053512573,0.7035584449768066
6619,0.5278781056404114,0.4785086512565613,0.8066024780273438
6621,0.5400457978248596,0.48529118299484253,0.47950589656829834
6622,0.5513460636138916,0.5145869851112366,0.48006677627563477
6623,0.5304797887802124,0.48783302307128906,0.39830002188682556
6629,0.5523019433021545,0.5264304280281067,0.5891587138175964
6631,0.545019268989563,0.5057483911514282,0.5261471271514893
6634,0.5011570453643799,0.48977160453796387,0.48666447401046753
6647,0.5438967943191528,0.4798956513404846,0.40668052434921265
6650,0.5889761447906494,0.4900437593460083,0.566470742225647
6651,0.7143889665603638,0.547010064125061,0.6200786828994751
6654,0.6086107492446899,0.5507075786590576,0.7458211183547974
8642,0.5456575751304626,0.43414780497550964,0.4403243958950043
8643,0.5612269639968872,0.5394048690795898,0.3587215840816498
8644,0.5651309490203857,0.45516765117645264,0.4659630060195923
8650,0.5958461761474609,0.5114426612854004,0.903247594833374
8651,0.5575090646743774,0.5275893807411194,0.4083925187587738
8656,0.5383199453353882,0.5082783102989197,0.4785299003124237
8664,0.5193330645561218,0.4581196904182434,0.507009744644165
8667,0.5851635932922363,0.524827241897583,0.581311821937561
8668,0.7305030226707458,0.6066110134124756,0.553789496421814
8669,0.5059112310409546,0.4859018325805664,0.39275914430618286
8673,0.703697144985199,0.6022412776947021,0.6077494621276855
8674,0.5053150653839111,0.44886887073516846,0.5331138968467712
8679,0.5492485761642456,0.5057101249694824,0.5184394121170044
8693,0.543782114982605,0.49107521772384644,0.35744553804397583
8701,0.5969414710998535,0.46421390771865845,0.5147978067398071
8703,0.5241611003875732,0.48850759863853455,0.3449103534221649
9985,0.6226006746292114,0.48750215768814087,0.5679699778556824
9987,0.7034420371055603,0.6351511478424072,0.8327125906944275
9991,0.5288511514663696,0.48547741770744324,0.38841864466667175
9994,0.556778073310852,0.5345370769500732,0.7103182673454285
9998,0.4929477572441101,0.4921410083770752,0.6764912605285645
9999,0.7198406457901001,0.6665259003639221,0.6950675845146179
