image_index,lime_fass
0,0.3480082154273987
1,0.39757442474365234
2,0.3466557264328003
3,0.33593177795410156
4,0.3242422044277191
5,0.3246355652809143
6,0.3664187788963318
7,0.37816429138183594
8,0.36517223715782166
10,0.36569032073020935
12,0.39493894577026367
14,0.39253804087638855
15,0.6173525452613831
16,0.3877761960029602
17,0.4014168381690979
18,0.3855966329574585
19,0.5203447341918945
20,0.2867288291454315
22,0.4005327820777893
23,0.3613935112953186
24,0.5925090312957764
25,0.37153109908103943
26,0.3525770902633667
27,0.373008131980896
28,0.37520283460617065
29,0.4261111617088318
30,0.38409966230392456
33,0.36679673194885254
34,0.29257625341415405
35,0.33438801765441895
36,0.3481365144252777
37,0.35837674140930176
38,0.3513202667236328
39,0.35555875301361084
41,0.311728835105896
42,0.4107060432434082
43,0.3293740749359131
44,0.37739062309265137
45,0.358033150434494
46,0.3856036067008972
47,0.3878881335258484
48,0.3347585201263428
49,0.363269567489624
50,0.4181458353996277
51,0.3685173988342285
53,0.30768224596977234
54,0.3125050663948059
55,0.38128095865249634
56,0.35525625944137573
57,0.2891525626182556
58,0.34801656007766724
59,0.35666465759277344
60,0.31070375442504883
61,0.40916019678115845
62,0.36100348830223083
63,0.3999996781349182
64,0.36419373750686646
65,0.3895556330680847
66,0.33975455164909363
67,0.4047633111476898
68,0.3139488697052002
69,0.3232603371143341
70,0.3051695227622986
71,0.3125501871109009
75,0.3548983931541443
76,0.6398000717163086
77,0.36720511317253113
78,0.5148424506187439
80,0.3634548783302307
82,0.5965072512626648
83,0.360223650932312
84,0.362562358379364
85,0.32930415868759155
86,0.31035616993904114
87,0.3069695830345154
88,0.3732253909111023
89,0.33184438943862915
90,0.337846040725708
91,0.3775286376476288
92,0.3096163868904114
93,0.2710370719432831
94,0.37632691860198975
95,0.3747811019420624
97,0.36163175106048584
98,0.35947513580322266
99,0.32256394624710083
100,0.36269909143447876
103,0.3664834201335907
105,0.3756718635559082
107,0.39900022745132446
108,0.3594174385070801
110,0.36376088857650757
111,0.37622636556625366
112,0.33823999762535095
113,0.5492128729820251
114,0.3868297040462494
115,0.28739237785339355
116,0.29167330265045166
117,0.3720577657222748
118,0.3176587224006653
119,0.3386116027832031
120,0.2995612323284149
121,0.2998754382133484
122,0.2985037565231323
