model,perturbation,n_images,ig_fass,shap_fass,gradcam_fass,ig_std,shap_std,gradcam_std
resnet50,rotation,3719,0.42232278347592356,0.4225243681555443,0.450437817358945,0.029914950762526385,0.031537126012063765,0.07313910849867261
densenet121,rotation,2077,0.4457062749863819,0.44489512989655333,0.5345488029227672,0.021417099884947704,0.023141070723944925,0.0730146872290853
convnext_tiny,rotation,4526,0.4556022832417878,0.4566978928305857,0.5475012130683047,0.02344334069310939,0.02420699032215703,0.04492048387910259
vit_b_16,rotation,3607,0.44020270298219366,0.44201185463173487,0.5387332582857128,0.024003206617438023,0.024431865821832037,0.06629948837435778
resnet50,noise,2686,0.3806041592838865,0.39282208149635517,0.4493750646788064,0.029272163647251045,0.034768661478698865,0.07989357573537235
densenet121,noise,1210,0.3800633593039079,0.38408978022327106,0.5529806077972916,0.036539216605779315,0.04041025467805172,0.09395935265531637
convnext_tiny,noise,1155,0.4385243242695218,0.44083783033090235,0.6449420129065906,0.026551818813860335,0.031288732517995264,0.14166451117779977
vit_b_16,noise,2924,0.47033084504989203,0.4631557856799803,0.5980841662586959,0.02963450047621893,0.028093862928828144,0.13752951742217645
