image_index,ig_fass,shap_fass,gradcam_fass
0,0.4357146918773651,0.4864383339881897,0.5342954993247986
2,0.4659774899482727,0.48281192779541016,0.8211696147918701
3,0.4466770887374878,0.495244562625885,0.5387800931930542
4,0.48848554491996765,0.49204981327056885,0.4993019104003906
12,0.4304924011230469,0.4780552089214325,0.8484907150268555
15,0.4719870984554291,0.4847956597805023,0.5493555665016174
19,0.46686726808547974,0.458427369594574,0.4944836497306824
20,0.4367905557155609,0.43603143095970154,0.4908568263053894
28,0.477958083152771,0.4688203036785126,0.46563881635665894
33,0.5214838981628418,0.4920456111431122,0.5752924680709839
38,0.4830302596092224,0.4644189774990082,0.8754926919937134
43,0.42492052912712097,0.43421846628189087,0.5031636953353882
45,0.45646506547927856,0.4600268304347992,0.5354379415512085
46,0.46689701080322266,0.4757065176963806,0.8759970664978027
52,0.46172234416007996,0.43379172682762146,0.5124495029449463
56,0.4588790833950043,0.4421806335449219,0.548498809337616
57,0.43362897634506226,0.4227426052093506,0.5574650168418884
59,0.4764828085899353,0.4495532214641571,0.5710291862487793
60,0.48854243755340576,0.4742605686187744,0.8711411356925964
62,0.4603038430213928,0.43865689635276794,0.523199200630188
63,0.4562041759490967,0.4516769349575043,0.8709424734115601
64,0.4520881772041321,0.4507274031639099,0.5005495548248291
66,0.45655393600463867,0.4365074038505554,0.5441765785217285
75,0.44114941358566284,0.44800788164138794,0.5142151117324829
76,0.4276483654975891,0.4411429762840271,0.509010374546051
77,0.4305744171142578,0.4419190585613251,0.5528878569602966
86,0.44964081048965454,0.4355852007865906,0.526909589767456
87,0.46881556510925293,0.46051549911499023,0.5674030780792236
94,0.4651312828063965,0.44759702682495117,0.8493849635124207
98,0.48173993825912476,0.44286665320396423,0.5146600604057312
99,0.44529902935028076,0.4191248118877411,0.5833243131637573
100,0.42345815896987915,0.4269436001777649,0.5518612861633301
106,0.43830105662345886,0.43750903010368347,0.565689742565155
109,0.4685530662536621,0.45608270168304443,0.5065091848373413
113,0.5124395489692688,0.5136731863021851,0.5102188587188721
115,0.4336477220058441,0.41249629855155945,0.5679908990859985
119,0.4672124981880188,0.46092066168785095,0.5470448136329651
127,0.47991448640823364,0.4782387912273407,0.5325390100479126
131,0.4614100456237793,0.4405742883682251,0.49400782585144043
134,0.4370691180229187,0.4338684678077698,0.8811337947845459
135,0.48438894748687744,0.4724756181240082,0.517989993095398
139,0.46267110109329224,0.459884375333786,0.4960169494152069
140,0.44124913215637207,0.44230222702026367,0.5109187364578247
142,0.4353647232055664,0.43519648909568787,0.5519177913665771
146,0.4630981385707855,0.45627260208129883,0.5245792865753174
150,0.47251784801483154,0.4631739556789398,0.41027915477752686
152,0.4779028296470642,0.4493032693862915,0.8920989036560059
157,0.4665696322917938,0.44606122374534607,0.571865439414978
158,0.5075252056121826,0.4805075526237488,0.5562059879302979
162,0.4165259003639221,0.4217022657394409,0.5866996645927429
164,0.5225880146026611,0.5003112554550171,0.5568524599075317
165,0.4325123727321625,0.44789546728134155,0.5090081691741943
179,0.4883307218551636,0.48235487937927246,0.5539222955703735
182,0.4806385636329651,0.47845518589019775,0.9306952357292175
184,0.4728807210922241,0.4734552502632141,0.5256916880607605
185,0.46111997961997986,0.4448402523994446,0.888924241065979
188,0.48626813292503357,0.4810405969619751,0.5089762210845947
189,0.4817897081375122,0.48465704917907715,0.5271801948547363
190,0.45980459451675415,0.49362409114837646,0.5460509657859802
197,0.47890716791152954,0.48366662859916687,0.5524057149887085
199,0.4390196204185486,0.42368084192276,0.5675010681152344
206,0.5033046007156372,0.4943084120750427,0.5362762808799744
211,0.4691786468029022,0.4691314101219177,0.8408699035644531
215,0.4435657262802124,0.44315266609191895,0.5465810894966125
221,0.4382292628288269,0.4345554709434509,0.5997203588485718
222,0.44862520694732666,0.4541545808315277,0.5212725400924683
224,0.47327956557273865,0.4698033332824707,0.5104708075523376
225,0.4837650954723358,0.49526482820510864,0.7935873866081238
231,0.45027443766593933,0.46422824263572693,0.500677227973938
234,0.4607120156288147,0.4500177800655365,0.9514714479446411
238,0.46212610602378845,0.442306250333786,0.854607343673706
239,0.516810953617096,0.5086867809295654,0.5652979016304016
243,0.4860963225364685,0.4940278232097626,0.511676549911499
245,0.5060727596282959,0.4812614917755127,0.5309390425682068
246,0.4876860976219177,0.4893706440925598,0.5340875387191772
247,0.4858074188232422,0.47755420207977295,0.8891703486442566
249,0.439979612827301,0.4417853057384491,0.5316752791404724
