image_index,lime_fass
4,0.3231455087661743
5,0.392910897731781
10,0.26970604062080383
14,0.3658089339733124
17,0.3333609104156494
22,0.31914567947387695
24,0.28352126479148865
26,0.3332173526287079
27,0.26907169818878174
31,0.37154996395111084
33,0.3022933900356293
44,0.3884725570678711
50,0.3414141833782196
51,0.3713834285736084
52,0.357787549495697
54,0.34681448340415955
56,0.3840342164039612
60,0.3243252635002136
62,0.32452255487442017
63,0.33387118577957153
67,0.31671780347824097
68,0.3304603099822998
69,0.3477858304977417
70,0.31008464097976685
75,0.32581526041030884
77,0.2994617819786072
78,0.36618709564208984
79,0.32160258293151855
81,0.26673585176467896
82,0.3344969153404236
85,0.2807330787181854
86,0.30573898553848267
88,0.3088371753692627
91,0.35718995332717896
101,0.3245713412761688
104,0.374849408864975
107,0.304067999124527
110,0.3530178666114807
116,0.3587360382080078
121,0.295777291059494
124,0.3464261293411255
127,0.37093913555145264
129,0.33229994773864746
132,0.36728280782699585
136,0.35863012075424194
139,0.34789201617240906
142,0.6422523260116577
148,0.3274714946746826
151,0.37435978651046753
152,0.3839786946773529
157,0.4228169322013855
159,0.30520138144493103
160,0.32429346442222595
162,0.34383171796798706
166,0.348941445350647
167,0.32098013162612915
168,0.3519740700721741
171,0.34529590606689453
173,0.327308714389801
177,0.3548428416252136
179,0.3218466639518738
183,0.3323417901992798
189,0.3093499541282654
198,0.35397788882255554
201,0.3088071942329407
202,0.28121110796928406
207,0.3563743531703949
211,0.36163651943206787
212,0.4214591681957245
215,0.37598150968551636
216,0.3923977315425873
217,0.31043872237205505
218,0.323043555021286
222,0.35526198148727417
223,0.3772493302822113
225,0.3176659345626831
226,0.33993467688560486
229,0.27797845005989075
232,0.29421746730804443
235,0.37177950143814087
239,0.3089250922203064
243,0.332815945148468
244,0.34747862815856934
246,0.38909444212913513
258,0.3000251054763794
265,0.3326970338821411
267,0.3308717608451843
274,0.3407343029975891
275,0.4180355966091156
282,0.38721925020217896
285,0.37341007590293884
286,0.37828928232192993
289,0.37609705328941345
292,0.32720911502838135
295,0.3208314776420593
298,0.38861045241355896
299,0.3633973002433777
300,0.36277899146080017
301,0.3977954387664795
302,0.33412253856658936
306,0.30938050150871277
313,0.33210867643356323
314,0.37562888860702515
318,0.3811739683151245
320,0.3796623647212982
321,0.3632226586341858
322,0.34708309173583984
323,0.37099170684814453
324,0.40823468565940857
329,0.37127143144607544
330,0.32028302550315857
331,0.3272523581981659
332,0.37987571954727173
334,0.4076552093029022
335,0.27080726623535156
336,0.3159550428390503
342,0.3451229929924011
343,0.34419533610343933
345,0.31500962376594543
346,0.36321258544921875
347,0.38059645891189575
348,0.312300443649292
350,0.3318565785884857
351,0.33703088760375977
352,0.3220815062522888
353,0.29745984077453613
354,0.38431286811828613
359,0.33839648962020874
362,0.3368537425994873
364,0.276915043592453
368,0.31027859449386597
371,0.3601527214050293
375,0.32892468571662903
378,0.34180590510368347
385,0.31857508420944214
387,0.3694663941860199
392,0.38356488943099976
394,0.3720465302467346
396,0.34459060430526733
398,0.36773261427879333
399,0.31427353620529175
401,0.2828904390335083
403,0.39978939294815063
405,0.47169291973114014
407,0.35186049342155457
410,0.2485007345676422
412,0.34767305850982666
414,0.3229557275772095
415,0.3416469693183899
421,0.3155687153339386
424,0.33259114623069763
425,0.3063231110572815
426,0.37200450897216797
427,0.3795967102050781
428,0.3943883776664734
429,0.3029036223888397
431,0.29381078481674194
433,0.310069739818573
434,0.3860439956188202
435,0.33580732345581055
437,0.3341241478919983
438,0.32830771803855896
439,0.3377115726470947
440,0.3257664442062378
444,0.3928818702697754
445,0.3755125403404236
446,0.3317331075668335
447,0.26994287967681885
448,0.2889329195022583
449,0.370078980922699
450,0.3542913794517517
451,0.38427257537841797
453,0.37281250953674316
454,0.34420937299728394
463,0.36709755659103394
464,0.31799787282943726
465,0.36790740489959717
470,0.5823964476585388
474,0.29320985078811646
475,0.3272979259490967
476,0.3653307557106018
478,0.28836938738822937
479,0.30591121315956116
480,0.36386844515800476
485,0.3593413233757019
488,0.35265275835990906
489,0.39465564489364624
492,0.3510122299194336
495,0.34105464816093445
501,0.3562996983528137
504,0.310498982667923
505,0.40697383880615234
506,0.3288932144641876
508,0.3304559886455536
510,0.38126349449157715
511,0.319369375705719
513,0.35785266757011414
515,0.32595908641815186
517,0.34949132800102234
520,0.3549189567565918
523,0.3774096965789795
525,0.3672691583633423
526,0.3831881880760193
529,0.3445093035697937
531,0.3240470588207245
532,0.35388296842575073
533,0.37066468596458435
538,0.2932243049144745
539,0.3317173719406128
542,0.3294640779495239
543,0.3412436842918396
544,0.33760225772857666
545,0.37116608023643494
550,0.32692497968673706
551,0.28016895055770874
558,0.4012068510055542
560,0.351192831993103
561,0.3597900867462158
562,0.3061078190803528
566,0.34159958362579346
568,0.3508479595184326
575,0.31529825925827026
578,0.3730456233024597
580,0.37321096658706665
581,0.3717668950557709
582,0.37914571166038513
586,0.40613508224487305
587,0.3513014018535614
588,0.3420618176460266
589,0.3899432420730591
596,0.308856338262558
609,0.35953590273857117
612,0.29129907488822937
613,0.32983529567718506
615,0.32003867626190186
616,0.2897028923034668
621,0.3787333369255066
624,0.3433815836906433
628,0.3432468771934509
629,0.26191624999046326
630,0.4522826075553894
631,0.370693564414978
633,0.6290637254714966
635,0.37962958216667175
637,0.3172800838947296
641,0.31497588753700256
642,0.32465898990631104
643,0.33395856618881226
644,0.34943482279777527
651,0.2902642488479614
652,0.33615177869796753
654,0.27983003854751587
656,0.34391769766807556
657,0.28859758377075195
658,0.38382887840270996
661,0.3658837676048279
663,0.3510250747203827
664,0.3080068528652191
667,0.35476893186569214
670,0.3466659188270569
674,0.34217557311058044
676,0.3059609830379486
678,0.36043283343315125
680,0.32519590854644775
682,0.3235912024974823
684,0.35448727011680603
689,0.36346936225891113
691,0.31697410345077515
693,0.49729883670806885
701,0.38627904653549194
703,0.3616544008255005
708,0.3469249904155731
712,0.40209102630615234
725,0.30796676874160767
728,0.37942367792129517
729,0.3231763541698456
730,0.33419570326805115
745,0.2659713923931122
746,0.35988545417785645
749,0.34136587381362915
750,0.38870352506637573
755,0.34624284505844116
756,0.2783123254776001
764,0.35546064376831055
765,0.6213928461074829
767,0.34934455156326294
770,0.33186107873916626
774,0.3271646201610565
778,0.2710270285606384
781,0.385840505361557
784,0.3196979761123657
786,0.2995172441005707
788,0.3463025987148285
789,0.36082467436790466
790,0.3000299334526062
793,0.3327692747116089
796,0.3429512679576874
799,0.3363797664642334
801,0.33885741233825684
802,0.35223841667175293
803,0.3816600739955902
804,0.3445965647697449
807,0.3260377049446106
810,0.35082441568374634
814,0.33629703521728516
815,0.3700127601623535
816,0.3308876156806946
818,0.35676273703575134
820,0.298522412776947
827,0.31067392230033875
828,0.2598598301410675
830,0.36008334159851074
834,0.3579946756362915
835,0.39021819829940796
838,0.35913801193237305
840,0.32067522406578064
841,0.3641030788421631
842,0.3291550576686859
843,0.3574694097042084
846,0.32581108808517456
848,0.3506660461425781
850,0.35523998737335205
853,0.29927384853363037
858,0.36746272444725037
863,0.30323541164398193
865,0.3257065415382385
866,0.3231869339942932
869,0.3512490391731262
870,0.33607614040374756
871,0.3877827525138855
872,0.32822901010513306
874,0.3754447400569916
876,0.39090436697006226
877,0.3640702962875366
878,0.3497670590877533
884,0.38531041145324707
887,0.3710727095603943
894,0.3587765097618103
895,0.3467034697532654
903,0.31372129917144775
904,0.3814038634300232
907,0.2768864631652832
910,0.38768959045410156
913,0.34939467906951904
915,0.322226345539093
917,0.3276102542877197
918,0.3136843740940094
919,0.2858300507068634
920,0.4041168689727783
923,0.30611878633499146
924,0.30090516805648804
925,0.35424184799194336
927,0.3350144624710083
928,0.35911890864372253
930,0.32938098907470703
931,0.37680625915527344
934,0.37633809447288513
935,0.34816235303878784
939,0.381258487701416
945,0.36433476209640503
949,0.3244493007659912
950,0.2904694676399231
952,0.308107852935791
953,0.3321760594844818
954,0.3525608479976654
955,0.3392437696456909
956,0.3643438518047333
959,0.3480702042579651
961,0.3038390874862671
963,0.33301401138305664
969,0.33238571882247925
971,0.3399527072906494
985,0.3263190686702728
991,0.3549600839614868
992,0.4137740135192871
993,0.32205507159233093
994,0.3817630410194397
996,0.3709968328475952
1002,0.2645259201526642
1005,0.4174838066101074
1007,0.3767462372779846
1012,0.3137166202068329
1013,0.337878555059433
1014,0.3288601040840149
1016,0.34007853269577026
1023,0.3401128947734833
1024,0.3721315264701843
1029,0.32321813702583313
1030,0.32739362120628357
1036,0.32825785875320435
1038,0.44139790534973145
1043,0.32509976625442505
1048,0.3146733045578003
1050,0.2875271439552307
1051,0.37348315119743347
1053,0.35766470432281494
1056,0.40263113379478455
1057,0.3104163408279419
1064,0.3181005120277405
1073,0.34438401460647583
1075,0.2861531972885132
1078,0.3168690800666809
1081,0.33982062339782715
1085,0.29044777154922485
1087,0.34889405965805054
1090,0.29932135343551636
1092,0.37207818031311035
1093,0.344168484210968
1096,0.3973316550254822
1099,0.33409178256988525
1101,0.30298835039138794
1102,0.3301975727081299
1107,0.3309239149093628
1109,0.36125850677490234
1110,0.6726986169815063
1112,0.31047600507736206
1113,0.36977073550224304
1115,0.37163373827934265
1117,0.3383311629295349
1120,0.31096792221069336
1122,0.3719228208065033
1124,0.3235800862312317
1127,0.3785781264305115
1128,0.34729310870170593
1129,0.3411938548088074
1131,0.33731359243392944
1132,0.34358346462249756
1133,0.3672725558280945
1134,0.36236345767974854
1135,0.3758332133293152
1136,0.2978537678718567
1148,0.37049803137779236
1154,0.3372971713542938
1155,0.34579998254776
1157,0.36153197288513184
1158,0.29639869928359985
1160,0.3632075786590576
1162,0.3408832252025604
1164,0.3345962464809418
1166,0.36600935459136963
1167,0.3652697205543518
1169,0.30010485649108887
1171,0.3727858066558838
1173,0.3651310205459595
1174,0.29561516642570496
1181,0.35304492712020874
1182,0.2791280448436737
1185,0.3371056914329529
1187,0.3353983163833618
1189,0.3236348330974579
1190,0.3634345531463623
1192,0.3816307485103607
1197,0.2863621711730957
1201,0.5660929679870605
1204,0.3049982190132141
1205,0.3177787661552429
1207,0.4009126126766205
1208,0.3535131812095642
1210,0.37020057439804077
1211,0.32364988327026367
1213,0.3260045647621155
1218,0.3374532163143158
1219,0.34746384620666504
1223,0.41794008016586304
1224,0.3956943452358246
1225,0.33100074529647827
1228,0.3169355094432831
1229,0.30668362975120544
1232,0.310047447681427
1239,0.3312225341796875
1240,0.2885448634624481
1244,0.31824296712875366
1246,0.3334279954433441
1247,0.30457401275634766
1257,0.34592998027801514
1259,0.291196346282959
1260,0.3435814380645752
1263,0.27707910537719727
1264,0.3444112241268158
1265,0.33143991231918335
1266,0.3586653470993042
