image_index,lime_fass
2,0.43711766600608826
5,0.4099826216697693
15,0.3485090136528015
18,0.4364160895347595
19,0.4043542742729187
21,0.42020612955093384
25,0.4061850905418396
26,0.42959141731262207
28,0.4378010630607605
31,0.4902741312980652
40,0.3831178545951843
46,0.42375263571739197
49,0.38353490829467773
50,0.365503191947937
58,0.4245879650115967
60,0.3801233768463135
65,0.5185456275939941
66,0.5121994018554688
68,0.4108057916164398
69,0.4563644528388977
70,0.5381342768669128
73,0.4423016309738159
74,0.4094298779964447
82,0.44299793243408203
83,0.333616703748703
115,0.35742151737213135
118,0.4129776954650879
120,0.3271278738975525
129,0.46868324279785156
131,0.3950654864311218
137,0.4437902867794037
139,0.4152904152870178
147,0.38727378845214844
151,0.3515053689479828
152,0.4620487689971924
153,0.7259949445724487
161,0.42032355070114136
168,0.5815657377243042
169,0.42581450939178467
171,0.41415783762931824
172,0.42073214054107666
174,0.5248420834541321
181,0.44244620203971863
182,0.4299095571041107
183,0.3863523602485657
187,0.3781912922859192
190,0.45817050337791443
202,0.3445402979850769
204,0.28919345140457153
209,0.4543810784816742
211,0.4123660922050476
222,0.3509603440761566
226,0.40736883878707886
228,0.3787410855293274
234,0.45049524307250977
236,0.48580068349838257
246,0.41114720702171326
252,0.4223330020904541
259,0.3857286870479584
272,0.396242618560791
273,0.4418691098690033
277,0.47942018508911133
278,0.39395618438720703
281,0.4792481064796448
284,0.4968205392360687
287,0.5077544450759888
290,0.38669726252555847
295,0.5134260654449463
297,0.46551084518432617
298,0.36399421095848083
300,0.4319267272949219
304,0.44878095388412476
305,0.4834582805633545
307,0.45760783553123474
321,0.35855746269226074
333,0.485581636428833
336,0.3607257604598999
349,0.3705909252166748
354,0.47435569763183594
356,0.4564647078514099
357,0.45853206515312195
361,0.471606582403183
365,0.42401379346847534
368,0.3863784670829773
369,0.32913923263549805
373,0.47632086277008057
375,0.43049857020378113
376,0.5242113471031189
380,0.4403015375137329
383,0.45702213048934937
384,0.44283685088157654
389,0.4228023290634155
393,0.41347354650497437
399,0.449410080909729
401,0.42245373129844666
404,0.5194307565689087
407,0.44026875495910645
414,0.3869938254356384
419,0.47380632162094116
422,0.450822651386261
427,0.434344619512558
441,0.39509373903274536
445,0.4605434834957123
448,0.6831216216087341
449,0.37378066778182983
454,0.4126455783843994
456,0.4300621747970581
458,0.4854261875152588
464,0.37998121976852417
469,0.3488454818725586
472,0.40989696979522705
477,0.42589396238327026
491,0.4092514216899872
495,0.6949628591537476
499,0.32731354236602783
500,0.3757530450820923
505,0.3745325803756714
512,0.4656830430030823
520,0.5052155256271362
522,0.4906705319881439
523,0.47497761249542236
529,0.42224130034446716
536,0.42159026861190796
538,0.4884333312511444
541,0.47419923543930054
551,0.3876267373561859
553,0.42493316531181335
554,0.4743198752403259
555,0.4341249465942383
560,0.3546779751777649
564,0.4076206088066101
568,0.3794299066066742
579,0.4186888635158539
582,0.41439566016197205
590,0.416874498128891
593,0.46303558349609375
598,0.36139988899230957
601,0.36553090810775757
603,0.47880077362060547
606,0.36710819602012634
607,0.4473688006401062
610,0.4197315573692322
613,0.43527746200561523
615,0.34631800651550293
628,0.39048463106155396
629,0.4150390028953552
631,0.3991071581840515
632,0.46722733974456787
633,0.45541125535964966
634,0.4447922706604004
637,0.49482235312461853
639,0.4292977750301361
648,0.423710435628891
649,0.34788602590560913
650,0.43336236476898193
654,0.44134995341300964
660,0.369229793548584
661,0.7278256416320801
665,0.4762503504753113
666,0.4512118995189667
668,0.37219715118408203
672,0.36876821517944336
