model,perturbation,n_images,ig_fass,shap_fass,gradcam_fass,ig_std,shap_std,gradcam_std
convnext_tiny,rotation,13833,0.47394827722227684,0.47542646557021573,0.6918644323392432,0.02422519009834324,0.022538105692004016,0.11863922962979691
vit_b_16,rotation,13632,0.48136669340512844,0.48088359874082914,0.7518927187313427,0.01988361933938908,0.019497975515241097,0.22129461989804078
resnet50,rotation,23759,0.44993271514459154,0.44894864870982215,0.656379094372053,0.026986830756221904,0.02709366500510389,0.0992684217264377
densenet121,rotation,15329,0.4401183097794437,0.4371431495502695,0.6615271062131295,0.030864882013203764,0.031577181289236006,0.10445345198181084
