image_index,ig_fass,shap_fass,gradcam_fass
9669,0.44380685687065125,0.43267351388931274,0.9077490568161011
9672,0.5186163187026978,0.5192108154296875,0.6202869415283203
9674,0.5375570058822632,0.5092620849609375,0.6085582971572876
9675,0.5186556577682495,0.5035459399223328,0.2890119254589081
9684,0.6319015026092529,0.5441490411758423,0.6288607120513916
9687,0.5889669060707092,0.5410833358764648,0.6369644403457642
9690,0.5091254711151123,0.5024378299713135,0.5828653573989868
9698,0.5084599852561951,0.4953460395336151,0.40427225828170776
9702,0.5851918458938599,0.5493844747543335,0.9838603734970093
9705,0.5956091284751892,0.6116248965263367,0.6520983576774597
9707,0.5351207852363586,0.502064049243927,0.6433128118515015
9708,0.5161042213439941,0.488849937915802,0.4363945424556732
9716,0.48354634642601013,0.4714077413082123,0.6344238519668579
9726,0.5175510048866272,0.5079218149185181,0.4808202385902405
17729,0.5246477127075195,0.503691554069519,0.5387200713157654
17733,0.4393730163574219,0.46280786395072937,0.6407723426818848
17735,0.5503613948822021,0.48048898577690125,0.9763898849487305
17747,0.5279248952865601,0.4825318455696106,0.9060296416282654
17750,0.49896496534347534,0.49617692828178406,0.6076807975769043
17754,0.5176020860671997,0.47108012437820435,0.3631525933742523
17759,0.554462194442749,0.4794902503490448,0.3177134394645691
17760,0.501379132270813,0.4732513427734375,0.8755240440368652
17765,0.44536012411117554,0.395063579082489,0.97347092628479
17766,0.5467153787612915,0.5211493968963623,0.43906673789024353
17767,0.49974533915519714,0.46429261565208435,0.9709262847900391
17779,0.499520480632782,0.4770319163799286,0.6050242781639099
17790,0.5410035848617554,0.4868770241737366,0.6050341129302979
17859,0.5867103934288025,0.5382095575332642,0.6273859739303589
17864,0.5339553356170654,0.5252010822296143,0.9591273665428162
17880,0.4576568007469177,0.4687540531158447,0.9837716817855835
17881,0.5253071188926697,0.47879108786582947,0.5585142374038696
17883,0.5462415218353271,0.5059298872947693,0.3804573714733124
17885,0.46394234895706177,0.4723384976387024,0.6064844727516174
17892,0.49434518814086914,0.47533220052719116,0.9517197012901306
17893,0.5732011795043945,0.5690380930900574,0.5344454646110535
17895,0.5278601050376892,0.476597398519516,0.565802276134491
17899,0.5627787113189697,0.49397170543670654,0.9640121459960938
17910,0.6001052260398865,0.5518858432769775,0.328734815120697
17915,0.5651836395263672,0.49855634570121765,0.625698447227478
23242,0.6332927942276001,0.5568059086799622,0.5752164721488953
23248,0.657680869102478,0.5300374031066895,0.8506166338920593
23249,0.5288907289505005,0.5165368318557739,0.5626529455184937
23252,0.490650475025177,0.4630688428878784,0.3354131579399109
23254,0.5640453100204468,0.4406948685646057,0.584805428981781
23257,0.489656925201416,0.4658137261867523,0.4907037913799286
23260,0.6124815344810486,0.590408444404602,0.5969110727310181
23267,0.5102525353431702,0.4696979224681854,0.9590381383895874
23278,0.5089404582977295,0.5015724301338196,0.6320175528526306
23279,0.49219805002212524,0.45887553691864014,0.6167332530021667
23284,0.5420894622802734,0.4610496461391449,0.9864951372146606
23292,0.5356791019439697,0.5105664134025574,0.5805941820144653
23294,0.4943867325782776,0.4591270685195923,0.954166054725647
23948,0.6369524002075195,0.597008228302002,0.9799398183822632
23957,0.5024353265762329,0.4905003011226654,0.35726451873779297
23959,0.5746095180511475,0.5807458162307739,0.5487894415855408
23961,0.5297791957855225,0.5388582944869995,0.9657769203186035
23965,0.5845839977264404,0.4552851617336273,0.9508703947067261
23969,0.5170260667800903,0.4347781538963318,0.643155574798584
23971,0.5284327864646912,0.46107614040374756,0.9643883109092712
23975,0.509050726890564,0.46730196475982666,0.9854334592819214
23981,0.5191465616226196,0.4656226634979248,0.9354750514030457
23986,0.5510883331298828,0.4892929196357727,0.9557392597198486
23995,0.5807993412017822,0.5308718085289001,0.49124330282211304
24321,0.512107789516449,0.48417121171951294,0.5652903318405151
24322,0.4892781972885132,0.488456666469574,0.5840005278587341
24328,0.5551917552947998,0.5447331070899963,0.6086936593055725
24337,0.561568021774292,0.49134621024131775,0.6209565997123718
24339,0.5313732624053955,0.4745100438594818,0.5397829413414001
24358,0.5631234049797058,0.5037081241607666,0.2569446265697479
24364,0.49800750613212585,0.4676029682159424,0.6262910962104797
24365,0.47437584400177,0.4498225450515747,0.5765752792358398
24374,0.47845548391342163,0.48924654722213745,0.2626149356365204
24378,0.4683951139450073,0.4358726441860199,0.5989250540733337
24381,0.49342501163482666,0.4854586124420166,0.5599143505096436
24382,0.552417516708374,0.5055477619171143,0.4372813403606415
24383,0.46784698963165283,0.4443826675415039,0.9891976714134216
27203,0.5338687896728516,0.47856828570365906,0.5936393141746521
27207,0.51308274269104,0.490581214427948,0.3438422679901123
27213,0.46093153953552246,0.44462597370147705,0.6257600784301758
27214,0.4971267580986023,0.47594985365867615,0.9672726988792419
