image_index,lime_fass
1,0.3843704164028168
2,0.4356079697608948
3,0.38834065198898315
4,0.43264898657798767
12,0.42052286863327026
13,0.40911972522735596
17,0.4021414518356323
18,0.33062025904655457
21,0.40915030241012573
23,0.41058844327926636
27,0.47211286425590515
30,0.41359609365463257
33,0.4193648099899292
34,0.42382222414016724
41,0.39918074011802673
43,0.4264373183250427
48,0.4292643964290619
52,0.433692067861557
54,0.4104856252670288
55,0.42558014392852783
59,0.35045325756073
61,0.3946987986564636
62,0.39458656311035156
64,0.4936957359313965
72,0.43534740805625916
73,0.40984171628952026
74,0.4376833438873291
75,0.40749311447143555
78,0.4175565838813782
79,0.5011451244354248
83,0.5040872693061829
84,0.4188491702079773
86,0.4808017611503601
90,0.4325171411037445
91,0.3680175244808197
92,0.4653918743133545
93,0.4120202660560608
97,0.4281226396560669
98,0.44671833515167236
100,0.45568937063217163
102,0.3778688609600067
106,0.39370235800743103
107,0.39236709475517273
116,0.45622557401657104
117,0.4259086847305298
119,0.4294464588165283
123,0.38585543632507324
127,0.3689917027950287
129,0.4310106635093689
132,0.37886032462120056
133,0.4354826807975769
135,0.4744091033935547
139,0.4255358576774597
140,0.3555280566215515
147,0.4045095145702362
148,0.39783740043640137
151,0.4322029948234558
152,0.39352524280548096
155,0.44739270210266113
160,0.4396381378173828
169,0.3827829957008362
171,0.42363041639328003
177,0.46253880858421326
179,0.474667489528656
183,0.4361419081687927
193,0.42048379778862
196,0.36777839064598083
197,0.44183337688446045
198,0.3807090222835541
203,0.34801650047302246
206,0.38738366961479187
211,0.4082850217819214
213,0.42093151807785034
217,0.394817590713501
219,0.39824700355529785
220,0.45241135358810425
226,0.4275561571121216
228,0.4736939072608948
229,0.41685980558395386
233,0.41783803701400757
234,0.3973703980445862
237,0.4158918261528015
240,0.41355788707733154
241,0.4628784656524658
242,0.4403206706047058
243,0.39876502752304077
248,0.4364943504333496
252,0.4402754306793213
257,0.4016956090927124
258,0.4238031804561615
259,0.38725945353507996
261,0.39935311675071716
263,0.38989830017089844
264,0.41584882140159607
265,0.4122775197029114
271,0.38027095794677734
273,0.5179685950279236
276,0.41782674193382263
278,0.3744959235191345
279,0.42842790484428406
282,0.4307839870452881
